,id,id_attack,tpl,section,tn,sz
224,49,12,3,7,2,8
225,49,12,3,7,3,7
226,49,12,3,7,2,10
227,49,12,3,7,2,5
228,49,12,3,7,2,8
229,49,12,3,7,2,8
230,49,12,3,7,2,4
231,49,7,3,7,3,5
232,49,7,3,7,2,8
233,49,7,3,7,2,4
234,49,7,3,7,1,4
235,49,7,3,7,2,4
236,49,7,3,7,2,4
237,49,7,3,7,1,5
238,49,52,3,7,2,5
239,49,52,3,7,2,7
240,49,52,3,7,3,7
241,49,52,3,7,2,5
242,49,52,3,7,2,4
243,49,52,3,7,1,5
244,49,52,3,7,1,4
245,49,55,3,7,2,7
246,49,55,3,7,2,8
247,49,55,3,7,2,9
248,49,55,3,7,2,8
249,49,55,3,7,2,9
250,49,55,3,7,2,6
251,49,55,3,7,2,5
252,49,1,3,7,2,4
253,49,1,3,7,3,5
254,49,1,3,7,3,5
255,49,1,3,7,2,6
256,49,1,3,7,2,6
257,49,1,3,7,2,5
258,49,1,3,7,1,4
259,49,70,3,7,2,5
260,49,70,3,7,1,4
261,49,70,3,7,1,5
262,49,70,3,7,0,4
263,49,70,3,7,0,4
264,49,70,3,7,1,4
265,49,70,3,7,0,5
266,49,66,3,7,1,6
267,49,66,3,7,2,5
268,49,66,3,7,1,6
269,49,66,3,7,1,5
270,49,66,3,7,0,4
271,49,66,3,7,3,7
272,49,66,3,7,1,5
273,49,61,3,7,3,8
274,49,61,3,7,2,7
275,49,61,3,7,2,7
276,49,61,3,7,3,7
277,49,61,3,7,5,14
278,49,61,3,7,3,6
279,49,61,3,7,0,5
280,49,2,3,7,2,7
281,49,2,3,7,5,13
282,49,2,3,7,2,7
283,49,2,3,7,3,6
284,49,2,3,7,2,4
285,49,2,3,7,1,4
286,49,2,3,7,3,6
287,49,27,3,7,1,5
288,49,27,3,7,3,11
289,49,27,3,7,2,5
290,49,27,3,7,1,4
291,49,27,3,7,3,8
292,49,27,3,7,2,5
293,49,27,3,7,2,6
294,49,58,3,7,2,5
295,49,58,3,7,1,5
296,49,58,3,7,1,4
297,49,58,3,7,2,4
298,49,58,3,7,2,4
299,49,58,3,7,1,4
300,49,58,3,7,2,4
301,49,11,3,7,3,8
302,49,11,3,7,3,9
303,49,11,3,7,1,4
304,49,11,3,7,2,4
305,49,11,3,7,2,4
306,49,11,3,7,2,4
307,49,11,3,7,2,6
308,49,71,3,7,2,4
309,49,71,3,7,1,4
310,49,71,3,7,2,7
311,49,71,3,7,2,4
312,49,71,3,7,2,5
313,49,71,3,7,2,5
314,49,71,3,7,2,5
315,49,19,3,7,1,5
316,49,19,3,7,1,4
317,49,19,3,7,0,4
318,49,19,3,7,0,4
319,49,19,3,7,1,5
320,49,19,3,7,1,4
321,49,19,3,7,2,7
322,49,17,3,7,3,6
323,49,17,3,7,2,5
324,49,17,3,7,2,6
325,49,17,3,7,2,4
326,49,17,3,7,2,5
327,49,17,3,7,2,6
328,49,17,3,7,2,4
329,49,41,3,7,2,5
330,49,41,3,7,2,5
331,49,41,3,7,3,5
332,49,41,3,7,1,4
333,49,41,3,7,2,4
334,49,41,3,7,2,4
335,49,41,3,7,3,6
336,49,69,3,7,3,6
337,49,69,3,7,2,5
338,49,69,3,7,3,6
339,49,69,3,7,2,4
340,49,69,3,7,2,4
341,49,69,3,7,2,4
342,49,69,3,7,2,4
343,49,47,3,7,1,5
344,49,47,3,7,1,4
345,49,47,3,7,1,4
346,49,47,3,7,1,4
347,49,47,3,7,0,4
348,49,47,3,7,1,4
349,49,47,3,7,1,5
350,49,45,3,7,2,5
351,49,45,3,7,2,6
352,49,45,3,7,2,6
353,49,45,3,7,2,4
354,49,45,3,7,2,5
355,49,45,3,7,2,4
356,49,45,3,7,2,5
357,49,54,3,7,0,7
358,49,54,3,7,0,9
359,49,54,3,7,0,6
360,49,54,3,7,0,6
361,49,54,3,7,0,5
362,49,54,3,7,0,6
363,49,54,3,7,0,6
364,49,24,3,7,0,4
365,49,24,3,7,0,4
366,49,24,3,7,0,5
367,49,24,3,7,0,4
368,49,24,3,7,0,4
369,49,24,3,7,0,4
370,49,24,3,7,0,4
371,49,67,3,7,0,8
372,49,67,3,7,0,4
