"","section","id","id_attack","acc"
"517",6,7,8,0.166666666666667
"518",7,7,8,0.333333333333333
"519",1,7,9,0.142857142857143
"520",2,7,9,0.333333333333333
"521",3,7,9,0
"522",4,7,9,0.5
"523",5,7,9,0.5
"524",6,7,9,0.5
"525",7,7,9,0.5
"526",1,7,25,0.428571428571429
"527",2,7,25,0.333333333333333
"528",3,7,25,0.285714285714286
"529",4,7,25,0.333333333333333
"530",5,7,25,0.4
"531",6,7,25,0.285714285714286
"532",7,7,25,0.2
"533",1,7,20,0.428571428571429
"534",2,7,20,0.285714285714286
"535",3,7,20,0.25
"536",4,7,20,0.5
"537",5,7,20,0.5
"538",6,7,20,0.25
"539",7,7,20,0.2
"540",1,7,17,0.333333333333333
"541",2,7,17,0.4
"542",3,7,17,0
"543",4,7,17,0.25
"544",5,7,17,0.4
"545",6,7,17,0.5
"546",7,7,17,0.5
"547",1,7,51,0.125
"548",2,7,51,0.125
"549",3,7,51,0.285714285714286
"550",4,7,51,0.4
"551",5,7,51,0.5
"552",6,7,51,0.75
"553",7,7,51,0.75
"554",1,7,55,0.142857142857143
"555",2,7,55,0
"556",3,7,55,0.333333333333333
"557",4,7,55,0.125
"558",5,7,55,0.111111111111111
"559",6,7,55,0.333333333333333
"560",7,7,55,0.2
"561",1,7,64,0.5
"562",2,7,64,0.4
"563",3,7,64,0.666666666666667
"564",4,7,64,0.444444444444444
"565",5,7,64,0.6
"566",6,7,64,0.75
"567",7,7,64,1
"568",1,7,72,0
"569",2,7,72,0.4
"570",3,7,72,0.5
"571",4,7,72,0.25
"572",5,7,72,0.5
"573",6,7,72,0.375
"574",7,7,72,0
"575",1,7,43,0.5
"576",2,7,43,0.5
"577",3,7,43,0.5
"578",4,7,43,0.428571428571429
"579",5,7,43,0.4
"580",6,7,43,0
"581",7,7,43,0.142857142857143
"582",1,7,1,0.75
"583",2,7,1,0.4
"584",3,7,1,0.2
"585",4,7,1,0.166666666666667
"586",5,7,1,0.333333333333333
"587",6,7,1,0.6
"588",7,7,1,0.5
"589",1,7,18,0.142857142857143
"590",2,7,18,0.5
"591",3,7,18,0.25
"592",4,7,18,0.25
"593",5,7,18,0.25
"594",6,7,18,0.5
"595",7,7,18,0.4
"596",1,7,53,0.285714285714286
"597",2,7,53,0.5
"598",3,7,53,0.5
"599",4,7,53,0.166666666666667
"600",5,7,53,0.75
"601",6,7,53,0.5
"602",7,7,53,0.6
"603",1,7,52,0.4
"604",2,7,52,0.428571428571429
"605",3,7,52,0.428571428571429
"606",4,7,52,0
"607",5,7,52,0.25
"608",6,7,52,0.4
"609",7,7,52,0.5
"610",1,7,2,0
"611",2,7,2,0.153846153846154
"612",3,7,2,0
"613",4,7,2,0.333333333333333
"614",5,7,2,0.5
"615",6,7,2,0.5
"616",7,7,2,0.166666666666667
"617",1,7,61,0.125
"618",2,7,61,0.142857142857143
"619",3,7,61,0
"620",4,7,61,0.428571428571429
"621",5,7,61,0.642857142857143
"622",6,7,61,0.333333333333333
"623",7,7,61,0.4
"624",1,7,74,0.6
"625",2,7,74,0.25
"626",3,7,74,0.285714285714286
"627",4,7,74,0.25
"628",5,7,74,0.5
"629",6,7,74,0.5
"630",7,7,74,0.5
"631",1,7,63,0.181818181818182
"632",2,7,63,0.272727272727273
"633",3,7,63,0.363636363636364
"634",4,7,63,0.111111111111111
"635",5,7,63,0.375
"636",6,7,63,0.428571428571429
"637",7,7,63,0.833333333333333
"638",1,7,57,0.25
"639",2,7,57,0.5
"640",3,7,57,0.5
"641",4,7,57,0.5
"642",5,7,57,0.25
"643",6,7,57,0.6
"644",7,7,57,0.25
"645",1,7,71,0.75
"646",2,7,71,0.75
"647",3,7,71,0.285714285714286
"648",4,7,71,0.5
"649",5,7,71,0.4
"650",6,7,71,0.4
"651",7,7,71,0.4
"652",1,7,56,0.1
"653",2,7,56,0.111111111111111
"654",3,7,56,0.333333333333333
"655",4,7,56,0.285714285714286
"656",5,7,56,0.5
"657",6,7,56,0.3
"658",7,7,56,0.285714285714286
"659",1,7,15,0.111111111111111
"660",2,7,15,0.142857142857143
"661",3,7,15,0.142857142857143
"662",4,7,15,0.285714285714286
"663",5,7,15,0.142857142857143
"664",6,7,15,0.333333333333333
"665",7,7,15,0.5
"666",1,7,13,0.222222222222222
"667",2,7,13,0.5
"668",3,7,13,0.4
"669",4,7,13,0.4
"670",5,7,13,0.5
"671",6,7,13,0.5
"672",7,7,13,0.5
"673",1,7,65,0.6
"674",2,7,65,0.5
"675",3,7,65,0.666666666666667
"676",4,7,65,0.2
"677",5,7,65,0.4
"678",6,7,65,0.75
"679",7,7,65,0.75
"680",1,7,11,0.375
"681",2,7,11,0.333333333333333
"682",3,7,11,0.5
"683",4,7,11,0.5
"684",5,7,11,0.5
"685",6,7,11,0.25
"686",7,7,11,0.5
"687",1,7,45,0.4
"688",2,7,45,0
"689",3,7,45,0.333333333333333
"690",4,7,45,0.25
"691",5,7,45,0.4
"692",6,7,45,0.25
"693",7,7,45,0.4
"694",1,7,54,0.142857142857143
"695",2,7,54,0.111111111111111
"696",3,7,54,0.5
"697",4,7,54,0.333333333333333
"698",5,7,54,0.6
"699",6,7,54,0.166666666666667
"700",7,7,54,0.166666666666667
"701",1,7,3,0
"702",2,7,3,0
"703",3,7,3,0
"704",4,7,3,0
"705",5,7,3,0
"706",6,7,3,0.111111111111111
"707",7,7,3,0.142857142857143
"708",1,7,49,0
"709",2,7,49,0
"710",3,7,49,0.75
"711",4,7,49,0.8
"712",5,7,49,0.75
"713",6,7,49,0.428571428571429
"714",7,7,49,0.5
"715",1,40,24,0.5
"716",2,40,24,0.5
"717",3,40,24,0.2
"718",4,40,24,0.25
"719",5,40,24,0.25
"720",6,40,24,0.25
"721",7,40,24,0
"722",1,40,7,0.2
"723",2,40,7,0
"724",3,40,7,0.25
"725",4,40,7,0.25
"726",5,40,7,0
"727",6,40,7,0.25
"728",7,40,7,0.4
"729",1,40,67,0.125
"730",2,40,67,0.25
"731",3,40,67,0.25
"732",4,40,67,0.2
"733",5,40,67,0.5
"734",6,40,67,0.25
"735",7,40,67,0.5
"736",1,40,50,0
"737",2,40,50,0.25
"738",3,40,50,0.166666666666667
"739",4,40,50,0.25
"740",5,40,50,0.25
"741",6,40,50,0.5
"742",7,40,50,0.25
"743",1,40,6,0
"744",2,40,6,0
"745",3,40,6,0
"746",4,40,6,0
"747",5,40,6,0
"748",6,40,6,0
"749",7,40,6,0
"750",1,40,58,0.4
"751",2,40,58,0.2
"752",3,40,58,0.75
"753",4,40,58,0.25
"754",5,40,58,0.5
"755",6,40,58,0.25
"756",7,40,58,0
"757",1,40,66,0.333333333333333
"758",2,40,66,0.2
"759",3,40,66,0.333333333333333
"760",4,40,66,1
"761",5,40,66,0.25
"762",6,40,66,0.571428571428571
"763",7,40,66,1
"764",1,40,47,0.4
"765",2,40,47,0.5
"766",3,40,47,0.25
"767",4,40,47,0.75
"768",5,40,47,0.25
"769",6,40,47,1
"770",7,40,47,0.4
"771",1,40,19,0.6
"772",2,40,19,0
"773",3,40,19,0.5
"774",4,40,19,0.25
"775",5,40,19,0.4
"776",6,40,19,0.25
"777",7,40,19,0.285714285714286
"778",1,40,27,0.4
"779",2,40,27,0.181818181818182
"780",3,40,27,0.4
"781",4,40,27,0.25
"782",5,40,27,0.125
"783",6,40,27,0.2
"784",7,40,27,0.166666666666667
"785",1,40,26,0.285714285714286
"786",2,40,26,0.2
"787",3,40,26,0
"788",4,40,26,0.2
"789",5,40,26,0.111111111111111
"790",6,40,26,0.222222222222222
"791",7,40,26,0.125
"792",1,40,62,0.2
"793",2,40,62,0.125
"794",3,40,62,0
"795",4,40,62,0.75
"796",5,40,62,0.4
"797",6,40,62,0
"798",7,40,62,0.2
"799",1,40,68,0.25
"800",2,40,68,0.5
"801",3,40,68,0.75
"802",4,40,68,0.25
"803",5,40,68,0.75
"804",6,40,68,0.5
"805",7,40,68,0.25
"806",1,40,42,0.4
"807",2,40,42,0.25
"808",3,40,42,0.25
"809",4,40,42,0.5
"810",5,40,42,0.5
"811",6,40,42,0.5
"812",7,40,42,0.25
"813",1,40,12,0
"814",2,40,12,0.142857142857143
"815",3,40,12,0.1
"816",4,40,12,0
"817",5,40,12,0.125
"818",6,40,12,0.125
"819",7,40,12,0.5
"820",1,40,69,0
"821",2,40,69,0.6
"822",3,40,69,0.166666666666667
"823",4,40,69,0
"824",5,40,69,0.25
"825",6,40,69,0.25
"826",7,40,69,0.5
"827",1,40,73,0
"828",2,40,73,0.5
"829",3,40,73,0.125
"830",4,40,73,0.25
"831",5,40,73,0.2
"832",6,40,73,0.5
"833",7,40,73,0.4
"834",1,40,44,0.25
"835",2,40,44,0.75
"836",3,40,44,0
"837",4,40,44,0.75
"838",5,40,44,0.5
"839",6,40,44,0
"840",7,40,44,0.5
"841",1,40,10,0
"842",2,40,10,0.25
"843",3,40,10,0.25
"844",4,40,10,0.4
"845",5,40,10,0.25
"846",6,40,10,0.5
"847",7,40,10,0.75
"848",1,40,41,0.2
"849",2,40,41,0.4
"850",3,40,41,0.2
"851",4,40,41,0.5
"852",5,40,41,0.25
"853",6,40,41,0.25
"854",7,40,41,0
"855",1,40,70,0.4
"856",2,40,70,0.5
"857",3,40,70,0.2
"858",4,40,70,0.25
"859",5,40,70,0
"860",6,40,70,0.5
"861",7,40,70,0.6
"862",1,40,48,0
"863",2,40,48,0.25
"864",3,40,48,0.5
"865",4,40,48,0.5
"866",5,40,48,0.75
"867",6,40,48,0.5
"868",7,40,48,0.5
"869",1,40,8,0.19047619047619
"870",2,40,8,0.2
"871",3,40,8,0
"872",4,40,8,0
"873",5,40,8,0
"874",6,40,8,0
"875",7,40,8,0
"876",1,40,9,0
"877",2,40,9,0.333333333333333
"878",3,40,9,0
"879",4,40,9,0.166666666666667
"880",5,40,9,0.166666666666667
"881",6,40,9,0.25
"882",7,40,9,0.25
"883",1,40,25,0.285714285714286
"884",2,40,25,0.166666666666667
"885",3,40,25,0.142857142857143
"886",4,40,25,0
"887",5,40,25,0.4
"888",6,40,25,0
"889",7,40,25,0.2
"890",1,40,20,0.142857142857143
"891",2,40,20,0
"892",3,40,20,0.25
"893",4,40,20,0
"894",5,40,20,0.25
"895",6,40,20,0
"896",7,40,20,0.2
"897",1,40,17,0.666666666666667
"898",2,40,17,0
"899",3,40,17,0
"900",4,40,17,0.25
"901",5,40,17,0.2
"902",6,40,17,0.333333333333333
"903",7,40,17,0
"904",1,40,51,0
"905",2,40,51,0
"906",3,40,51,0.142857142857143
"907",4,40,51,0.2
"908",5,40,51,0.5
"909",6,40,51,0.5
"910",7,40,51,0.5
"911",1,40,55,0
"912",2,40,55,0
"913",3,40,55,0.333333333333333
"914",4,40,55,0.25
"915",5,40,55,0.111111111111111
"916",6,40,55,0.166666666666667
"917",7,40,55,0.2
"918",1,40,64,0.5
"919",2,40,64,0.6
"920",3,40,64,0.666666666666667
"921",4,40,64,0.333333333333333
"922",5,40,64,0.4
"923",6,40,64,0.25
"924",7,40,64,0.75
"925",1,40,72,0.5
"926",2,40,72,0.2
"927",3,40,72,0.25
"928",4,40,72,0.25
"929",5,40,72,0.75
"930",6,40,72,0
"931",7,40,72,0.75
"932",1,40,43,0.75
"933",2,40,43,0.25
"934",3,40,43,0.25
"935",4,40,43,0.714285714285714
"936",5,40,43,0.4
"937",6,40,43,0.125
"938",7,40,43,0.142857142857143
"939",1,40,1,0.75
"940",2,40,1,0.4
"941",3,40,1,0
"942",4,40,1,0.166666666666667
"943",5,40,1,0
"944",6,40,1,0.2
"945",7,40,1,0.5
"946",1,40,18,0
"947",2,40,18,0.375
"948",3,40,18,0.25
"949",4,40,18,0.25
"950",5,40,18,0.25
"951",6,40,18,0
"952",7,40,18,0.2
"953",1,40,53,0.285714285714286
"954",2,40,53,0.25
"955",3,40,53,0.25
"956",4,40,53,0.166666666666667
"957",5,40,53,0.5
"958",6,40,53,0
"959",7,40,53,0.2
"960",1,40,52,0.4
"961",2,40,52,0.428571428571429
"962",3,40,52,0.285714285714286
"963",4,40,52,0
"964",5,40,52,0.25
"965",6,40,52,0
"966",7,40,52,0.25
"967",1,40,2,0.142857142857143
"968",2,40,2,0
"969",3,40,2,0
"970",4,40,2,0
"971",5,40,2,0.25
"972",6,40,2,0.5
"973",7,40,2,0
"974",1,40,61,0
"975",2,40,61,0
"976",3,40,61,0
"977",4,40,61,0.428571428571429
"978",5,40,61,0.642857142857143
"979",6,40,61,0
"980",7,40,61,0.4
"981",1,40,74,0.8
"982",2,40,74,0
"983",3,40,74,0.285714285714286
"984",4,40,74,0.25
"985",5,40,74,0
"986",6,40,74,0.25
"987",7,40,74,0.75
"988",1,40,63,0.272727272727273
"989",2,40,63,0.363636363636364
"990",3,40,63,0.545454545454545
"991",4,40,63,0.222222222222222
"992",5,40,63,0.375
"993",6,40,63,0.714285714285714
"994",7,40,63,0.5
"995",1,40,57,0.25
"996",2,40,57,0
"997",3,40,57,0
"998",4,40,57,0.5
"999",5,40,57,0.5
"1000",6,40,57,0.4
"1001",7,40,57,0
"1002",1,40,71,1
"1003",2,40,71,0.75
"1004",3,40,71,0.571428571428571
"1005",4,40,71,0.5
"1006",5,40,71,0.4
"1007",6,40,71,0.2
"1008",7,40,71,0.2
"1009",1,40,56,0
"1010",2,40,56,0.333333333333333
"1011",3,40,56,0.666666666666667
"1012",4,40,56,0.571428571428571
"1013",5,40,56,0.375
"1014",6,40,56,0.3
"1015",7,40,56,0.142857142857143
"1016",1,40,15,0.222222222222222
"1017",2,40,15,0
"1018",3,40,15,0.214285714285714
"1019",4,40,15,0
"1020",5,40,15,0.142857142857143
"1021",6,40,15,0
"1022",7,40,15,0.25
"1023",1,40,13,0.333333333333333
"1024",2,40,13,0.25
"1025",3,40,13,0.2
"1026",4,40,13,0.2
"1027",5,40,13,0.25
"1028",6,40,13,0.25
"1029",7,40,13,0.25
"1030",1,40,65,0.8
"1031",2,40,65,0.5
"1032",3,40,65,0.166666666666667
"1033",4,40,65,0.4
"1034",5,40,65,0.4
"1035",6,40,65,0.5
"1036",7,40,65,0.75
"1037",1,40,11,0.25
"1038",2,40,11,0
"1039",3,40,11,0.25
"1040",4,40,11,0.25
"1041",5,40,11,0.25
"1042",6,40,11,0.25
"1043",7,40,11,0.333333333333333
"1044",1,40,45,0.4
"1045",2,40,45,0.166666666666667
"1046",3,40,45,0.166666666666667
"1047",4,40,45,0.25
"1048",5,40,45,0.2
